"","ReferenceID","Block","Lot","BuildingAddress","NoticeDate","Neighborhood","PoliceDistrict","CouncilDistrict","Location","Latitude","Longitude"
"108","1592 019 032316","1592","019","2536 E EAGER ST",2016-03-23,"MILTON-MONTFORD","EASTERN","13","(39.3020481, -76.58151278)","39.3020481"," -76.58151278"
"109","1610 029H 032416","1610","029H","2639 ASHLAND AVE",2016-03-24,"MADISON-EASTEND","EASTERN","13","(39.30087416, -76.57979432)","39.30087416"," -76.57979432"
"110","1654 027 032416","1654","027","2319 MCELDERRY ST",2016-03-24,"MCELDERRY PARK","SOUTHEASTERN","13","(39.29744074, -76.58439371)","39.29744074"," -76.58439371"
"111","1722 019 032316","1722","019","2121 E FAIRMOUNT AVE",2016-03-23,"BUTCHER'S HILL","SOUTHEASTERN","13","(39.29274295, -76.58651081)","39.29274295"," -76.58651081"
"112","2138 026 032316","2138","026","455 BRUNSWICK ST",2016-03-23,"MILLHILL","SOUTHWESTERN","9","(39.27940532, -76.65913947)","39.27940532"," -76.65913947"
"113","2199G007 032116","2199G","007","150 S HILTON ST",2016-03-21,"SAINT JOSEPHS","SOUTHWESTERN","8","(39.28336832, -76.67242437)","39.28336832"," -76.67242437"
"114","2201 020 032316","2201","020","2339 EDMONDSON AVE",2016-03-23,"ROSEMONT HOMEOWNERS/TENANTS","WESTERN","9","(39.29452829, -76.6544517)","39.29452829"," -76.6544517"
"115","2230K013 031416","2230K","013","25 S ELLAMONT ST",2016-03-14,"CARROLL-SOUTH HILTON","SOUTHWESTERN","9","(39.28509941, -76.67018481)","39.28509941"," -76.67018481"
"116","2247 020 032116","2247","020","230 S MONASTERY AVE",2016-03-21,"IRVINGTON","SOUTHWESTERN","8","(39.28334502, -76.6812959)","39.28334502"," -76.6812959"
"117","2275A001 031816","2275A","001","246 N HILTON ST",2016-03-18,"ALLENDALE","SOUTHWESTERN","8","(39.28986146, -76.67284465)","39.28986146"," -76.67284465"
"118","2286 032 032416","2286","032","3511 W MULBERRY ST",2016-03-24,"ALLENDALE","SOUTHWESTERN","8","(39.29163522, -76.67619861)","39.29163522"," -76.67619861"
"119","2297 012 031616","2297","012","422 N LOUDON AVE",2016-03-16,"ALLENDALE","SOUTHWESTERN","8","(39.29234194, -76.68277277)","39.29234194"," -76.68277277"
"120","2306 031 031716","2306","031","1722 RUXTON AVE",2016-03-17,"COPPIN HEIGHTS/ASH-CO-EAST","WESTERN","7","(39.30814389, -76.65526668)","39.30814389"," -76.65526668"
"121","2348 017 031416","2348","017","2332 EDMONDSON AVE",2016-03-14,"ROSEMONT HOMEOWNERS/TENANTS","WESTERN","9","(39.29506303, -76.65431193)","39.29506303"," -76.65431193"
"122","2401A036 031716","2401A","036","1806 BRADDISH AVE",2016-03-17,"COPPIN HEIGHTS/ASH-CO-EAST","WESTERN","7","(39.30853512, -76.66129249)","39.30853512"," -76.66129249"
"123","2443A024 031716","2443A","024","2915 BELMONT AVE",2016-03-17,"WINCHESTER","SOUTHWESTERN","9","(39.30327997, -76.6659239)","39.30327997"," -76.6659239"
"124","2443A025 031716","2443A","025","2917 BELMONT AVE",2016-03-17,"WINCHESTER","SOUTHWESTERN","9","(39.30327524, -76.6659744)","39.30327524"," -76.6659744"
"125","2445 064 031516","2445","064","2907 WINCHESTER ST",2016-03-15,"FRANKLINTOWN ROAD","SOUTHWESTERN","9","(39.30108813, -76.66619769)","39.30108813"," -76.66619769"
"126","1686 003 031516","1686","003","2031 ORLEANS ST",2016-03-15,"CARE","Eastern","13","(39.29518214, -76.5882701)","39.29518214"," -76.5882701"
"127","2475 009 031716","2475","009","3016 EDMONDSON AVE",2016-03-17,"FRANKLINTOWN ROAD","SOUTHWESTERN","9","(39.29459084, -76.66727238)","39.29459084"," -76.66727238"
"128","2475 026 031516","2475","026","3050 EDMONDSON AVE",2016-03-15,"FRANKLINTOWN ROAD","SOUTHWESTERN","9","(39.29456252, -76.66814195)","39.29456252"," -76.66814195"
"129","2475E036 031516","2475E","036","3036 HARLEM AVE",2016-03-15,"FRANKLINTOWN ROAD","SOUTHWESTERN","9","(39.29596426, -76.6679032)","39.29596426"," -76.6679032"
